"Cycle Nr." "Time [s]" "A3" "A4" "A5" "A6" "A7" "A8"
"1" 0 368 45832 19746 19738 22318 27693
"2" 59,744 313 44360 19314 19857 21761 30250
"3" 119,735 327 44373 19510 19754 21426 31002
"4" 179,762 306 44343 19251 19848 21429 31601
"5" 239,763 311 44006 19093 19879 21278 31575
"6" 299,758 324 43773 19037 19843 21475 31323
"7" 359,768 305 43428 19098 19792 21150 31361
"8" 419,788 328 43687 18905 19743 21170 31059
"9" 479,808 337 43542 18829 19612 21011 30913
"10" 539,801 313 43852 18994 19597 21469 30911
"11" 599,821 357 43710 19077 19747 20833 31168
"12" 659,811 357 43638 19035 19453 20978 31053
"13" 719,824 327 43415 18868 19612 20860 30547
"14" 779,838 322 43868 18807 19483 20592 30617
"15" 839,855 333 43692 18738 19374 20421 30721
"16" 899,849 339 43677 18939 19381 20283 30656
"17" 959,852 311 43547 18884 19343 20447 30657
"18" 1019,871 358 43151 18746 19107 20301 30529
"19" 1079,876 334 42523 18583 19127 20366 30334
"20" 1139,893 343 42253 18496 19151 20258 30428
"21" 1199,909 326 42060 18412 19101 20364 30474
"22" 1259,904 328 41846 18178 18908 20177 30309
"23" 1319,938 353 41764 18158 19036 20340 29949
"24" 1379,929 302 41544 18015 19157 20401 30060
"25" 1439,944 318 41985 17977 18992 19768 30414
"26" 1499,951 333 41613 18088 19049 19895 30091
"27" 1559,945 299 41599 18046 18697 19899 30106
"28" 1619,969 312 41204 17951 18830 19786 30187
"29" 1679,973 323 41053 17997 18634 19642 29969
"30" 1739,977 360 40986 18036 18562 19609 30131
"31" 1799,993 337 41286 17870 18639 19672 29886
"32" 1859,994 328 40974 17848 18588 19685 29632
"33" 1920 314 41287 17900 18642 19660 30052
"34" 1979,995 317 40672 17880 18573 19779 30044
"35" 2040,017 304 40717 17722 18619 19737 29483
"36" 2100,01 325 40942 17885 18435 19646 29642
"37" 2160,009 341 40684 17735 18488 19434 29536
"38" 2220,009 337 40912 17759 18450 19630 29629
"39" 2280,028 336 40410 17775 18405 19297 29655
"40" 2340,042 326 40602 17560 18444 19508 29669
"41" 2400,048 323 40268 17442 18553 19334 29665
"42" 2460,065 335 40229 17567 18308 19507 29404
"43" 2520,059 298 40455 17739 18366 19337 29455
"44" 2580,061 368 40170 17647 18227 19489 29619
"45" 2640,064 329 40200 17453 18365 19367 29392
"46" 2700,079 337 39922 17524 18235 19409 29439
"47" 2760,105 325 39957 17697 18042 19397 29289
"48" 2820,112 315 40110 17410 18241 19269 29254
"49" 2880,125 332 39955 17523 18162 19561 29298
"50" 2940,122 333 40052 17675 18155 19136 29406
"51" 3000,127 322 39980 17477 18108 19268 29257
"52" 3060,14 316 40036 17362 18064 19536 28924
"53" 3120,161 331 39717 17422 18452 19267 29007
"54" 3180,174 350 39690 17282 17929 19389 28781
"55" 3240,179 331 39725 17380 17967 19152 29102
"56" 3300,18 330 39649 17238 17867 19207 28792
"57" 3360,19 340 39572 17256 18041 19113 28708
"58" 3420,206 327 39956 17418 18011 19162 29206
"59" 3480,211 309 39710 17280 18065 19102 28848
"60" 3540,212 308 39721 17315 18058 18986 29152
